n_segments pct_words
1 0.6377
2 13.5252
3 32.0060
4 26.6514
5 14.2268
6 6.6502
7 3.0905
8 1.4522
9 0.7178
10 0.3695
11 0.2098
12 0.1249
13 0.0763
14 0.0484
15 0.0323
16 0.0302
17 0.0361
18 0.0159
19 0.0105
20 0.0092
21 0.0086
22 0.0067
23 0.0053
24 0.0044
25 0.0041
26 0.0051
27 0.0037
28 0.0039
29 0.0033
30 0.0025
31 0.0023
32 0.0014
33 0.0014
34 0.0015
35 0.0015
36 0.0018
37 0.0009
38 0.0011
39 0.0019
40 0.0011
41 0.0011
42 0.0007
43 0.0008
44 0.0014
45 0.0011
46 0.0008
47 0.0009
48 0.0003
49 0.0002
50 0.0005
51 0.0004
52 0.0006
53 0.0009
54 0.0008
55 0.0003
56 0.0003
57 0.0003
58 0.0003
59 0.0005
60 0.0002
61 0.0001
62 0.0003
63 0.0002
65 0.0003
66 0.0003
67 0.0001
68 0.0001
69 0.0001
71 0.0002
73 0.0001
74 0.0002
77 0.0001
79 0.0003
80 0.0003
82 0.0001
83 0.0001
84 0.0001
85 0.0001
87 0.0001
97 0.0001
99 0.0001
100 0.0001
101 0.0001
106 0.0001
108 0.0001
147 0.0001
155 0.0001
156 0.0001
188 0.0001
327 0.0001
382 0.0001
389 0.0001
475 0.0001
862 0.0001
