label vocabTarget minPairFreq boundary train_ms merges
V1000_M2_B1 1000 2 true 5497 843
V1000_M2_B0 1000 2 false 5328 843
V1000_M5_B1 1000 5 true 6543 843
V1000_M5_B0 1000 5 false 4599 843
V1000_M10_B1 1000 10 true 5119 843
V1000_M10_B0 1000 10 false 5366 843
V5000_M2_B1 5000 2 true 7191 4843
V5000_M2_B0 5000 2 false 6595 4843
V5000_M5_B1 5000 5 true 7066 4843
V5000_M5_B0 5000 5 false 6787 4843
V5000_M10_B1 5000 10 true 7201 4843
V5000_M10_B0 5000 10 false 6063 4843
V10000_M2_B1 10000 2 true 8455 9843
V10000_M2_B0 10000 2 false 6963 9843
V10000_M5_B1 10000 5 true 8524 9843
V10000_M5_B0 10000 5 false 6360 9843
V10000_M10_B1 10000 10 true 8340 9843
V10000_M10_B0 10000 10 false 6759 9843
