examples types
0 0
10 5616
20 12159
30 17426
40 21341
50 22758
60 24444
70 27541
80 29118
90 31528
100 32739
110 33004
120 36077
130 36925
140 39193
150 40289
160 41350
170 42465
180 43469
190 44329
200 44694
210 45653
220 46030
230 47742
240 49831
250 50869
260 51209
270 52656
280 53278
290 54774
300 56230
310 57217
320 58093
330 60255
340 61365
350 63173
360 64728
370 65036
380 65678
390 67048
400 67763
410 68008
420 68842
430 68846
440 70142
450 71479
460 72487
470 73182
480 73494
490 74318
500 75508
510 76469
520 76944
530 77755
540 78880
550 79891
560 80676
570 81154
580 81862
590 82205
600 82666
610 83584
620 84700
630 85393
640 85865
650 86268
660 86771
670 87882
680 89529
690 89899
700 91447
710 92376
720 92573
730 93032
740 94288
750 95208
760 95828
770 96958
780 98388
790 98552
800 98732
810 99094
820 99922
830 100639
840 101810
850 103048
860 104066
870 105735
880 106088
890 106823
900 107094
910 108128
920 108948
930 109182
940 109569
950 110663
960 111507
970 112993
980 113663
990 114276
1000 114719
